District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter,Agency Name,State Name,State Abbr,Agency ID,NumSchools,LowGrade,HighGrade,NumStudents,URL
2400420.0,Meetings,https://www.hcpss.org/board/meetings,1,,0,3,0,HOWARD COUNTY PUBLIC SCHOOLS,Maryland,MD ,2400420.0,77.0,Prekindergarten,12th Grade,57325.0,https://www.hcpss.org
4832940.0,,,,,,,,NORTH EAST ISD,Texas,TX ,4832940.0,75.0,Prekindergarten,12th Grade,59830.0,https://www.neisd.net
404970.0,,,,,,,,MESA UNIFIED DISTRICT (4235),Arizona,AZ ,404970.0,78.0,Prekindergarten,12th Grade,58859.0,https://www.mpsaz.org
4900420.0,Board meetings,https://jordandistrict.org/board/meetings,0,0,,0,0,JORDAN DISTRICT,Utah,UT ,4900420.0,69.0,Prekindergarten,12th Grade,59363.0,https://www.jordandistrict.org
802910.0,,,,,,,,CHERRY CREEK SCHOOL DISTRICT NO. 5 IN THE COUNTY OF ARAPAH,Colorado,CO ,802910.0,70.0,Prekindergarten,12th Grade,53587.0,https://www.cherrycreekschools.org
3701500.0,,,,,,,,WINSTON SALEM / FORSYTH COUNTY SCHOOLS,North Carolina,NC ,3701500.0,81.0,Prekindergarten,12th Grade,52681.0,https://wsfcs.k12.nc.us
1302220.0,Meeting Dates,https://www.forsyth.k12.ga.us/page/25,1,0,,0,0,FORSYTH COUNTY,Georgia,GA ,1302220.0,41.0,Prekindergarten,12th Grade,52757.0,https://www.forsyth.k12.ga.us
1301230.0,,,,,,,,CLAYTON COUNTY,Georgia,GA ,1301230.0,66.0,Prekindergarten,12th Grade,52335.0,https://www.clayton.k12.ga.us
102370.0,Board Meetings,https://simbli.eboardsolutions.com/sb_meetings/sb_meetinglisting.aspx?s=2077,1,0,,0,0,MOBILE COUNTY,Alabama,AL ,102370.0,92.0,Prekindergarten,12th Grade,52614.0,https://www.mcpss.com
609850.0,,,,,,,,CORONA-NORCO UNIFIED,California,CA ,609850.0,53.0,Kindergarten,12th Grade,50889.0,https://www.cnusd.k12.ca.us
4820340.0,Board Meetings,https://garlandisd.net/about/board-trustees/board-meetings,0,0,,0,0,GARLAND ISD,Texas,TX ,4820340.0,72.0,Prekindergarten,12th Grade,53674.0,https://www.garlandisd.net
5101890.0,video),https://youtu.be/jkeylfwm3m0,1,0,,0,0,HENRICO CO PBLC SCHS,Virginia,VA ,5101890.0,81.0,Prekindergarten,12th Grade,49991.0,https://www.henricoschools.us
1201230.0,School Board Meetings,https://www.manateeschools.net/page/11444,1,0,2,0,0,MANATEE,Florida,FL ,1201230.0,80.0,Prekindergarten,12th Grade,50248.0,https://www.manateeschools.net
4818300.0,BOARD,https://www.episd.org/domain/211,0,0,1,0,0,EL PASO ISD,Texas,TX ,4818300.0,80.0,Prekindergarten,12th Grade,50769.0,https://www.episd.org
4834320.0,,,,,,,,PASADENA ISD,Texas,TX ,4834320.0,67.0,Prekindergarten,12th Grade,49326.0,https://www.pasadenaisd.org
